,שם הרשימה,אותיות הרשימה
0,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה,מחל
1,יש עתיד בראשות יאיר לפיד לראשות הממשלה,פה
2,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית,ט
3,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה,כן
4,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי,שס
5,יהדות התורה והשבת אגודת ישראל - דגל התורה,ג
6,ישראל ביתנו בראשות אביגדור ליברמן,ל
7,הרשימה הערבית המאוחדת,עם
8,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי",ום
9,מפלגת העבודה בראשות מרב מיכאלי,אמת
10,מרצ השמאל של ישראל בראשות זהבה גלאון,מרצ
11,"בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש",ד
12,הבית היהודי בראשות איילת שקד,ב
13,חופש כלכלי בראשות אביר קארה,אצ
14,באומץ בשבילך,קץ
15,הכלכלית החדשה בראשות פרופסור ירון זליכה,יז
16,צעירים בוערים בהנהגת הדר מוכתר,צ
17,הפיראטים- הכי טוב לדעתי אני רוצה להיות שם,ף
18,קול הסביבה והחי,ק
19,דעת טוב ורע וברית שבט אברהם-עלה ירוק ואוסרת אל איס,ת
20,נתיב - נחיה תמיד יחד בכבוד,ני
21,כל קול קובע נועם קולמן ולירון עופרי לראשות הממשלה,קנ
22,יש כיוון בראשות עמוס דב סילבר,נק
23,ישראל חופשית דמוקרטית בראשות אלי אבידר,י
24,סדר חדש- למען האזרחים הותיקים בישראל,קך
25,העצמאים החדשים בראשות יורם מועלמי,נץ
26,מנהיגות חברתית,ץ
27,רשימת שלושים\ארבעים בראשות סטלה ויינשטיין,רז
28,אני ואתה,ך
29,שחר כוח חברתי בראשות וג`די טאהר,ז
30,הלב היהודי בראשות אלי יוסף,קי
31,"מפלגת הגוש התנ""כי",יק
32,"כבוד האדם בראשות עו""ד ארקדי פוגץ`",נז
33,"""אנחנו"" - בראשות עו""ד מוש חוג`ה",נר
34,צומת בראשות משה גרין דרכו של רפול,זץ
35,צו השעה,יץ
36,מפלגת שמע בראשות נפתלי גולדמן,נף
37,איחוד בני הברית -בראשות רב חובל בשארה שליאן,ינ
38,"קמ""ה - קידום מעמד הפרט",זך
39,כח להשפיע בראשות בני אלבז,זנ
