שם ישוב,אמת,ב,ג,ד,ום,ט,כן,ל,מחל,מרצ,עם,פה,שס,umap_x,umap_y,tsne_x,tsne_y,1,2,3,4,cluster,סמל ישוב,מצביעים,כשרים,פסולים
אבו גווייעד שבט,0.19,0.0,0.0,0.75,7.13,0.0,0.94,0.0,2.25,0.0,87.8,0.19,0.75,-2.6712642,4.3914995,10.726818,46.710938,הרשימה הערבית המאוחדת:87.8,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:7.13",הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:2.25,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:0.94,5,967,549,540,9
אבו גוש,0.51,0.04,0.11,45.93,11.35,0.47,0.29,0.07,7.56,2.11,30.47,0.95,0.15,-3.8687046,7.6070924,-1.3628404,41.093384,"בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:45.93",הרשימה הערבית המאוחדת:30.47,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:11.35",הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:7.56,0,472,2809,2769,40
אבו סנאן,0.64,0.06,0.0,12.71,38.1,0.11,7.53,6.66,7.6,1.54,21.77,3.06,0.23,-4.838032,6.737193,1.3464637,33.61488,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:38.1",הרשימה הערבית המאוחדת:21.77,"בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:12.71",הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:7.6,10,473,5458,5382,76
אבו קורינאת שבט,0.42,0.08,0.0,0.83,5.42,0.0,0.0,0.0,0.75,0.5,91.41,0.33,0.25,-2.6501107,4.2754736,11.944207,47.062717,הרשימה הערבית המאוחדת:91.41,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:5.42","בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:0.83",הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:0.75,5,968,1215,1209,6
אבו קרינאת יישוב,0.58,0.0,0.29,1.74,2.62,0.0,0.29,0.0,0.58,0.0,90.41,3.49,0.0,-2.6465604,4.27046,11.054712,48.21526,הרשימה הערבית המאוחדת:90.41,יש עתיד בראשות יאיר לפיד לראשות הממשלה:3.49,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:2.62","בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:1.74",5,1342,351,346,5
אבו רובייעה שבט,0.69,0.0,0.34,1.66,6.34,0.07,0.83,0.14,1.86,0.34,86.69,0.62,0.41,-2.6224415,4.3709636,10.170092,47.201717,הרשימה הערבית המאוחדת:86.69,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:6.34",הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:1.86,"בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:1.66",5,966,1496,1473,23
אבו רוקייק שבט,0.0,0.0,0.0,1.69,18.87,0.82,0.1,0.1,0.43,0.19,77.42,0.24,0.14,-2.6838124,5.193006,9.979524,44.85831,הרשימה הערבית המאוחדת:77.42,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:18.87","בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:1.69",הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:0.82,5,961,2105,2093,12
אבו תלול,0.0,0.0,0.0,0.93,21.09,0.0,0.47,0.0,0.62,0.0,76.9,0.0,0.0,-2.7033954,5.280129,10.024003,44.53409,הרשימה הערבית המאוחדת:76.9,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:21.09","בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:0.93",הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:0.62,5,1375,653,647,6
אבטין,0.12,0.0,0.0,8.56,22.57,0.23,0.93,2.2,1.62,0.12,61.92,1.39,0.35,-3.08761,5.721564,7.3803306,43.215305,הרשימה הערבית המאוחדת:61.92,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:22.57","בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:8.56",ישראל ביתנו בראשות אביגדור ליברמן:2.2,5,652,875,867,8
אביאל,9.3,0.52,0.52,0.26,0.78,4.39,19.9,0.78,18.35,11.89,0.0,32.82,0.52,15.19451,9.387713,-16.316824,-9.141357,יש עתיד בראשות יאיר לפיד לראשות הממשלה:32.82,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:19.9,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:18.35,מרצ השמאל של ישראל בראשות זהבה גלאון:11.89,9,679,405,402,3
